LANDSDEL;STORKREDS;PARTI;STEMMESEDDELNAVN
Hovedstaden;Københavns Storkreds;A;Halima El Abassi
Hovedstaden;Københavns Storkreds;A;Ida Auken
Hovedstaden;Københavns Storkreds;A;Jarl Feyling
Hovedstaden;Københavns Storkreds;A;Jørgen Mørup Pedersen
Hovedstaden;Københavns Storkreds;A;Lars Aslan Rasmussen
Hovedstaden;Københavns Storkreds;A;Lars Werge
Hovedstaden;Københavns Storkreds;A;Lone Larsen
Hovedstaden;Københavns Storkreds;A;Mette Reissmann
Hovedstaden;Københavns Storkreds;A;Nikoline Prehn
Hovedstaden;Københavns Storkreds;A;Pernille Rosenkrantz-Theil
Hovedstaden;Københavns Storkreds;A;Peter Hummelgaard
Hovedstaden;Københavns Storkreds;A;Yildiz Akdogan
Hovedstaden;Københavns Storkreds;B;Anders Højsted
Hovedstaden;Københavns Storkreds;B;Carolina Magdalene Maier
Hovedstaden;Københavns Storkreds;B;Clara Halvorsen
Hovedstaden;Københavns Storkreds;B;Emilie Normann
Hovedstaden;Københavns Storkreds;B;Jes Vissing Tiedemann
Hovedstaden;Københavns Storkreds;B;Klaus Bondam
Hovedstaden;Københavns Storkreds;B;Marie Kampmann
Hovedstaden;Københavns Storkreds;B;Michael Rachlin
Hovedstaden;Københavns Storkreds;B;Peter Zinckernagel
Hovedstaden;Københavns Storkreds;B;Ruben Kidde
Hovedstaden;Københavns Storkreds;B;Samira Nawa
Hovedstaden;Københavns Storkreds;B;Thomas Rohden
Hovedstaden;Københavns Storkreds;C;Allan Beier
Hovedstaden;Københavns Storkreds;C;Anders Havelund Krøyer
Hovedstaden;Københavns Storkreds;C;Casper Øhlers
Hovedstaden;Københavns Storkreds;C;Helle Bonnesen
Hovedstaden;Københavns Storkreds;C;Helle Jønch
Hovedstaden;Københavns Storkreds;C;Katarina Ammitzbøll
Hovedstaden;Københavns Storkreds;C;Laura Lindahl
Hovedstaden;Københavns Storkreds;C;Martin Wood Pedersen
Hovedstaden;Københavns Storkreds;C;Nicola Emily Larsen
Hovedstaden;Københavns Storkreds;C;Nikolaj Bøgh
Hovedstaden;Københavns Storkreds;C;Peter Stakemann
Hovedstaden;Københavns Storkreds;C;Rico Djernis
Hovedstaden;Københavns Storkreds;D;Daniel Pinderup
Hovedstaden;Københavns Storkreds;D;Denise Rostgaard
Hovedstaden;Københavns Storkreds;D;Henrik Ræder Clausen
Hovedstaden;Københavns Storkreds;D;Ketil Wathne Rasmussen
Hovedstaden;Københavns Storkreds;D;Niels Peder Ravn
Hovedstaden;Københavns Storkreds;F;Andreas Bæk
Hovedstaden;Københavns Storkreds;F;Balder Mørk Andersen
Hovedstaden;Københavns Storkreds;F;Carl Valentin
Hovedstaden;Københavns Storkreds;F;Cecilie Louise Balbay Holdt
Hovedstaden;Københavns Storkreds;F;Halime Oguz
Hovedstaden;Københavns Storkreds;F;Klaus Mygind
Hovedstaden;Københavns Storkreds;F;Line Petersen
Hovedstaden;Københavns Storkreds;F;Lisbeth Bech-Nielsen
Hovedstaden;Københavns Storkreds;F;Melissa Skovgaard Jensen
Hovedstaden;Københavns Storkreds;F;Peder Holk Svendsen
Hovedstaden;Københavns Storkreds;F;Pia Olsen Dyhr
Hovedstaden;Københavns Storkreds;F;Sadek Al-Amood
Hovedstaden;Københavns Storkreds;I;Alexander Ryle
Hovedstaden;Københavns Storkreds;I;Charlotte Nellemann
Hovedstaden;Københavns Storkreds;I;Christian Riegels Hjorth
Hovedstaden;Københavns Storkreds;I;Claus Willén
Hovedstaden;Københavns Storkreds;I;Hira Nadeem
Hovedstaden;Københavns Storkreds;I;Joanne Bywater
Hovedstaden;Københavns Storkreds;I;Martin Sibast Laugesen
Hovedstaden;Københavns Storkreds;I;Ole Birk Olesen
Hovedstaden;Københavns Storkreds;I;Per Nørgaard Andersen
Hovedstaden;Københavns Storkreds;K;Gunnar Bjørn Thomsen
Hovedstaden;Københavns Storkreds;K;Jacob Bang
Hovedstaden;Københavns Storkreds;K;Jesper Housgaard
Hovedstaden;Københavns Storkreds;K;Nanna Bock
Hovedstaden;Københavns Storkreds;K;Tina Mørk
Hovedstaden;Københavns Storkreds;M;Ellen Emilie
Hovedstaden;Københavns Storkreds;M;Johan Kahl
Hovedstaden;Københavns Storkreds;M;Jon Stephensen
Hovedstaden;Københavns Storkreds;M;Jørgen Kjøller
Hovedstaden;Københavns Storkreds;M;Lars Philipsen Prahm
Hovedstaden;Københavns Storkreds;M;Lean Milo
Hovedstaden;Københavns Storkreds;M;Louise Davidsen
Hovedstaden;Københavns Storkreds;M;Marina Andersen
Hovedstaden;Københavns Storkreds;M;Nanna W. Gotfredsen
Hovedstaden;Københavns Storkreds;O;Brian Bruun
Hovedstaden;Københavns Storkreds;O;Helene Brix
Hovedstaden;Københavns Storkreds;O;Jannie Bøgh
Hovedstaden;Københavns Storkreds;O;John Bo Hansen
Hovedstaden;Københavns Storkreds;O;Kenneth Kristensen Berth
Hovedstaden;Københavns Storkreds;O;Paw Karslund
Hovedstaden;Københavns Storkreds;Q;Daniel Tomicic
Hovedstaden;Københavns Storkreds;Q;Elena Bjerregaard Ryan
Hovedstaden;Københavns Storkreds;Q;Elise Bjerkrheim
Hovedstaden;Københavns Storkreds;Q;Iben Kirstine Parmann
Hovedstaden;Københavns Storkreds;Q;Rajesh Holmen
Hovedstaden;Københavns Storkreds;Q;Rashid Ali
Hovedstaden;Københavns Storkreds;Q;Sazan Garmiyani
Hovedstaden;Københavns Storkreds;Q;Sikandar Siddique
Hovedstaden;Københavns Storkreds;Uden for partier;Flemming Blicher
Hovedstaden;Københavns Storkreds;Uden for partier;Tom Gillesberg
Hovedstaden;Københavns Storkreds;V;Alexandra Sasha
Hovedstaden;Københavns Storkreds;V;Anders Fausbøll
Hovedstaden;Københavns Storkreds;V;Anne Rasmussen
Hovedstaden;Københavns Storkreds;V;Bo Sandroos
Hovedstaden;Københavns Storkreds;V;Claus Buch
Hovedstaden;Københavns Storkreds;V;Jan E. Jørgensen
Hovedstaden;Københavns Storkreds;V;Linea Søgaard-Lidell
Hovedstaden;Københavns Storkreds;V;Martin Geertsen
Hovedstaden;Københavns Storkreds;V;Michael Lange
Hovedstaden;Københavns Storkreds;V;René Bredal
Hovedstaden;Københavns Storkreds;V;Sven Aage Schlosrich
Hovedstaden;Københavns Storkreds;V;Søren Sørensen
Hovedstaden;Københavns Storkreds;Æ;Claus Gisselmann
Hovedstaden;Københavns Storkreds;Æ;Therese Skaarup
Hovedstaden;Københavns Storkreds;Ø;Anna Berg
Hovedstaden;Københavns Storkreds;Ø;Clara Turms
Hovedstaden;Københavns Storkreds;Ø;David Rønne
Hovedstaden;Københavns Storkreds;Ø;Dorthe Hecht
Hovedstaden;Københavns Storkreds;Ø;Emil Samaras
Hovedstaden;Københavns Storkreds;Ø;Ibrahim Benli
Hovedstaden;Københavns Storkreds;Ø;Jette Gottlieb
Hovedstaden;Københavns Storkreds;Ø;Leila Stockmarr
Hovedstaden;Københavns Storkreds;Ø;Louis Jacobsen
Hovedstaden;Københavns Storkreds;Ø;Mette Bloch Hansen
Hovedstaden;Københavns Storkreds;Ø;Pelle Dragsted
Hovedstaden;Københavns Storkreds;Ø;Rosa Lund
Hovedstaden;Københavns Storkreds;Å;Annika Martins
Hovedstaden;Københavns Storkreds;Å;Birgitte Kehler Holst
Hovedstaden;Københavns Storkreds;Å;Carsten Olesen
Hovedstaden;Københavns Storkreds;Å;Christina Olumeko
Hovedstaden;Københavns Storkreds;Å;Franciska Rosenkilde
Hovedstaden;Københavns Storkreds;Å;Jan Kristoffersen
Hovedstaden;Københavns Storkreds;Å;Jan Schumann
Hovedstaden;Københavns Storkreds;Å;Jonathan Ries
Hovedstaden;Københavns Storkreds;Å;Kim Hjerrild
Hovedstaden;Københavns Storkreds;Å;Lars Corvinius Olesen
Hovedstaden;Københavns Storkreds;Å;Mette Bram
Hovedstaden;Københavns Storkreds;Å;Noah Sturis
Hovedstaden;Københavns Storkreds;Å;Troels Chr. Jakobsen
Hovedstaden;Københavns Omegns Storkreds;A;Gunvor Wibroe
Hovedstaden;Københavns Omegns Storkreds;A;Jeppe Bruus
Hovedstaden;Københavns Omegns Storkreds;A;Kasper Sand Kjær
Hovedstaden;Københavns Omegns Storkreds;A;Maria Durhuus
Hovedstaden;Københavns Omegns Storkreds;A;Maria Gudme
Hovedstaden;Københavns Omegns Storkreds;A;Mattias Tesfaye
Hovedstaden;Københavns Omegns Storkreds;A;Morten Bødskov
Hovedstaden;Københavns Omegns Storkreds;A;Sebastian Schwartz
Hovedstaden;Københavns Omegns Storkreds;B;Abbas Razvi
Hovedstaden;Københavns Omegns Storkreds;B;Brian Køster
Hovedstaden;Københavns Omegns Storkreds;B;Christina Rittig Falkberg
Hovedstaden;Københavns Omegns Storkreds;B;Esat Sentürk
Hovedstaden;Københavns Omegns Storkreds;B;Hediye Temiz
Hovedstaden;Københavns Omegns Storkreds;B;Kashif Ahmad
Hovedstaden;Københavns Omegns Storkreds;B;Sofie Carsten Nielsen
Hovedstaden;Københavns Omegns Storkreds;B;Stinus Lindgreen
Hovedstaden;Københavns Omegns Storkreds;C;Britt Bager
Hovedstaden;Københavns Omegns Storkreds;C;Hanne Bjørn
Hovedstaden;Københavns Omegns Storkreds;C;Henrik Sørensen
Hovedstaden;Københavns Omegns Storkreds;C;Magnus Von Dreiager
Hovedstaden;Københavns Omegns Storkreds;C;Merete Scheelsbeck
Hovedstaden;Københavns Omegns Storkreds;C;Michael R. Rugaard
Hovedstaden;Københavns Omegns Storkreds;C;Rasmus Jarlov
Hovedstaden;Københavns Omegns Storkreds;C;Tina Cartey Hansen
Hovedstaden;Københavns Omegns Storkreds;D;Alberte Rasmussen
Hovedstaden;Københavns Omegns Storkreds;D;Claus Bøgh Svenningsen
Hovedstaden;Københavns Omegns Storkreds;D;Thomas Bentsen
Hovedstaden;Københavns Omegns Storkreds;D;Ulla Kokfelt
Hovedstaden;Københavns Omegns Storkreds;F;Alexander Bruhn Skjøth
Hovedstaden;Københavns Omegns Storkreds;F;Niels Haxthausen
Hovedstaden;Københavns Omegns Storkreds;F;Rasmus Henriksen
Hovedstaden;Københavns Omegns Storkreds;F;Serdal Benli
Hovedstaden;Københavns Omegns Storkreds;F;Sigurd Agersnap
Hovedstaden;Københavns Omegns Storkreds;F;Sofie F. Villadsen
Hovedstaden;Københavns Omegns Storkreds;F;Troels Stru Schmidt
Hovedstaden;Københavns Omegns Storkreds;F;Vivi Nør Jacobsen
Hovedstaden;Københavns Omegns Storkreds;I;Danny Malkowski
Hovedstaden;Københavns Omegns Storkreds;I;David Ibsen
Hovedstaden;Københavns Omegns Storkreds;I;Jørgen Juhl
Hovedstaden;Københavns Omegns Storkreds;I;Louise Siv Ebbesen
Hovedstaden;Københavns Omegns Storkreds;I;Peter Loft
Hovedstaden;Københavns Omegns Storkreds;I;Simon Karim Helledie
Hovedstaden;Københavns Omegns Storkreds;I;Steffen Larsen
Hovedstaden;Københavns Omegns Storkreds;I;Søren Schmidt-Andersen
Hovedstaden;Københavns Omegns Storkreds;K;Bolette von Westphal
Hovedstaden;Københavns Omegns Storkreds;K;Elif Demir Gökce
Hovedstaden;Københavns Omegns Storkreds;K;Esben Frette Johnsen
Hovedstaden;Københavns Omegns Storkreds;K;Johnnie V. Gregersen
Hovedstaden;Københavns Omegns Storkreds;M;Ammar Ali
Hovedstaden;Københavns Omegns Storkreds;M;Anastasia Valentin Rasmussen
Hovedstaden;Københavns Omegns Storkreds;M;Lars Arne Christensen
Hovedstaden;Københavns Omegns Storkreds;M;Monika Rubin
Hovedstaden;Københavns Omegns Storkreds;M;Rasmus Lund-Nielsen
Hovedstaden;Københavns Omegns Storkreds;M;Rasmus Skindbjerg Hinrichs
Hovedstaden;Københavns Omegns Storkreds;O;Cecilie Winther Kristensen
Hovedstaden;Københavns Omegns Storkreds;O;Lars Prier
Hovedstaden;Københavns Omegns Storkreds;O;Michael Jensen
Hovedstaden;Københavns Omegns Storkreds;O;Michael Pihl
Hovedstaden;Københavns Omegns Storkreds;O;Mikkel Dencker
Hovedstaden;Københavns Omegns Storkreds;O;Morten Messerschmidt
Hovedstaden;Københavns Omegns Storkreds;O;Rita Rahbek Russell
Hovedstaden;Københavns Omegns Storkreds;O;Susanne Damsgaard
Hovedstaden;Københavns Omegns Storkreds;Q;Aqeel Akhtar
Hovedstaden;Københavns Omegns Storkreds;Q;Asham Agha Nadeem
Hovedstaden;Københavns Omegns Storkreds;Q;Nour El Zeftawy
Hovedstaden;Københavns Omegns Storkreds;Q;Sabrina Raaschou Brammer
Hovedstaden;Københavns Omegns Storkreds;Uden for partier;Henrik Vendelbo Petersen
Hovedstaden;Københavns Omegns Storkreds;Uden for partier;Jovan Tasevski
Hovedstaden;Københavns Omegns Storkreds;V;Anders Bo Larsen
Hovedstaden;Københavns Omegns Storkreds;V;Astrid Søborg
Hovedstaden;Københavns Omegns Storkreds;V;Casper Pedersen
Hovedstaden;Københavns Omegns Storkreds;V;Karen Ellemann
Hovedstaden;Københavns Omegns Storkreds;V;Kim Valentin
Hovedstaden;Københavns Omegns Storkreds;V;Lennart Hartmann Nielsen
Hovedstaden;Københavns Omegns Storkreds;V;Mathias Rinaldo
Hovedstaden;Københavns Omegns Storkreds;V;Ricki Vejsmose
Hovedstaden;Københavns Omegns Storkreds;Æ;Charlotte Munch
Hovedstaden;Københavns Omegns Storkreds;Æ;Mette Qwinten
Hovedstaden;Københavns Omegns Storkreds;Æ;Michael Rosenmark
Hovedstaden;Københavns Omegns Storkreds;Ø;Helge Bo Jensen
Hovedstaden;Københavns Omegns Storkreds;Ø;Mathilde Vinther
Hovedstaden;Københavns Omegns Storkreds;Ø;Necla Baran
Hovedstaden;Københavns Omegns Storkreds;Ø;Stefan Rundstrøm
Hovedstaden;Københavns Omegns Storkreds;Ø;Stine Rahbek Pedersen
Hovedstaden;Københavns Omegns Storkreds;Ø;Søren Søndergaard
Hovedstaden;Københavns Omegns Storkreds;Ø;Tobias Clausen
Hovedstaden;Københavns Omegns Storkreds;Å;Bitten Vivi Jensen
Hovedstaden;Københavns Omegns Storkreds;Å;Irina Bjørnø
Hovedstaden;Københavns Omegns Storkreds;Å;Jesper Callesen
Hovedstaden;Københavns Omegns Storkreds;Å;Qasam Nazir Ahmad
Hovedstaden;Københavns Omegns Storkreds;Å;Sofie Groth
Hovedstaden;Københavns Omegns Storkreds;Å;Thomas Anker
Hovedstaden;Københavns Omegns Storkreds;Å;Thomas Lindqvist
Hovedstaden;Københavns Omegns Storkreds;Å;Ulla Sandbæk
Hovedstaden;Nordsjællands Storkreds;A;Fie Hækkerup
Hovedstaden;Nordsjællands Storkreds;A;Henrik Møller
Hovedstaden;Nordsjællands Storkreds;A;Louise Mehnke
Hovedstaden;Nordsjællands Storkreds;A;Matilde Powers
Hovedstaden;Nordsjællands Storkreds;A;Miki Dam Larsen
Hovedstaden;Nordsjællands Storkreds;A;Rasmus Stoklund
Hovedstaden;Nordsjællands Storkreds;B;Christian Holm Donatzky
Hovedstaden;Nordsjællands Storkreds;B;Christina Thorholm
Hovedstaden;Nordsjællands Storkreds;B;Jacob Netteberg
Hovedstaden;Nordsjællands Storkreds;B;Maria Katarina Nielsen
Hovedstaden;Nordsjællands Storkreds;B;Martin Lidegaard
Hovedstaden;Nordsjællands Storkreds;B;Tine Hessner
Hovedstaden;Nordsjællands Storkreds;C;Birgitte Bergman
Hovedstaden;Nordsjællands Storkreds;C;Christoffer Buster Reinhardt
Hovedstaden;Nordsjællands Storkreds;C;Egil Hulgaard
Hovedstaden;Nordsjællands Storkreds;C;Emma Juul Hansen
Hovedstaden;Nordsjællands Storkreds;C;Mette Abildgaard
Hovedstaden;Nordsjællands Storkreds;C;Niels Martin Viuff
Hovedstaden;Nordsjællands Storkreds;C;Nikolaj Frederiksen
Hovedstaden;Nordsjællands Storkreds;D;Carsten Winther
Hovedstaden;Nordsjællands Storkreds;D;Claus Bruncke
Hovedstaden;Nordsjællands Storkreds;D;Mette Thiesen
Hovedstaden;Nordsjællands Storkreds;D;Per Olsen
Hovedstaden;Nordsjællands Storkreds;D;Søren Højbjerg
Hovedstaden;Nordsjællands Storkreds;D;Søren Regenberg
Hovedstaden;Nordsjællands Storkreds;F;Jens Skov
Hovedstaden;Nordsjællands Storkreds;F;Marianne Bigum
Hovedstaden;Nordsjællands Storkreds;F;Marianne Stannum
Hovedstaden;Nordsjællands Storkreds;F;Peter Westermann
Hovedstaden;Nordsjællands Storkreds;F;Silje Brynildsen
Hovedstaden;Nordsjællands Storkreds;F;Stefan B. Skrubbeltrang
Hovedstaden;Nordsjællands Storkreds;I;Josephine Svane
Hovedstaden;Nordsjællands Storkreds;I;Kim Bjørnstrup
Hovedstaden;Nordsjællands Storkreds;I;Kira Danholm
Hovedstaden;Nordsjællands Storkreds;I;Lars Høyer Holmqvist
Hovedstaden;Nordsjællands Storkreds;I;Marianne Porsborg
Hovedstaden;Nordsjællands Storkreds;I;Robert Mørck
Hovedstaden;Nordsjællands Storkreds;I;Steffen Sjørslev
Hovedstaden;Nordsjællands Storkreds;I;Steffen W. Frølund
Hovedstaden;Nordsjællands Storkreds;K;Britta Kristensen
Hovedstaden;Nordsjællands Storkreds;K;Eva Skade Rasmussen
Hovedstaden;Nordsjællands Storkreds;K;Henrik Forsberg
Hovedstaden;Nordsjællands Storkreds;K;Kurt Pedersen
Hovedstaden;Nordsjællands Storkreds;K;Stig Grenov
Hovedstaden;Nordsjællands Storkreds;M;Carina Bloch Simonsen
Hovedstaden;Nordsjællands Storkreds;M;Erick Thürmer
Hovedstaden;Nordsjællands Storkreds;M;Jakob Engel-Schmidt
Hovedstaden;Nordsjællands Storkreds;M;Kim Mejnert Frydensbjerg
Hovedstaden;Nordsjællands Storkreds;M;Kim Rasmussen
Hovedstaden;Nordsjællands Storkreds;M;Ulf Helgstrand
Hovedstaden;Nordsjællands Storkreds;O;Birgitte Milling
Hovedstaden;Nordsjællands Storkreds;O;Brian Lyck Jørgensen
Hovedstaden;Nordsjællands Storkreds;O;Christian Sødergren
Hovedstaden;Nordsjællands Storkreds;O;Gert Løfgren
Hovedstaden;Nordsjællands Storkreds;O;Pia Adelsteen
Hovedstaden;Nordsjællands Storkreds;Q;Clara Rebecca Svarc
Hovedstaden;Nordsjællands Storkreds;Q;Lars Oskan-Henriksen
Hovedstaden;Nordsjællands Storkreds;Uden for partier;Jayseth Lotus Arrose Simonysano
Hovedstaden;Nordsjællands Storkreds;Uden for partier;Katjalivah Elleyhansen
Hovedstaden;Nordsjællands Storkreds;V;Hans Andersen
Hovedstaden;Nordsjællands Storkreds;V;Jørgen Eirfeldt
Hovedstaden;Nordsjællands Storkreds;V;Marianne Lynghøj
Hovedstaden;Nordsjællands Storkreds;V;Mette Lene Jensen
Hovedstaden;Nordsjællands Storkreds;V;Sophie Løhde
Hovedstaden;Nordsjællands Storkreds;V;Thomas Elong
Hovedstaden;Nordsjællands Storkreds;Æ;Lars Bregnbak
Hovedstaden;Nordsjællands Storkreds;Æ;Lars Ole Skovgaard Larsen
Hovedstaden;Nordsjællands Storkreds;Æ;Marlene Harpsøe
Hovedstaden;Nordsjællands Storkreds;Ø;Annie Hagel
Hovedstaden;Nordsjællands Storkreds;Ø;Christoffer Emil Jexen
Hovedstaden;Nordsjællands Storkreds;Ø;Emil Ulrik Andersen
Hovedstaden;Nordsjællands Storkreds;Ø;Sinem Demir
Hovedstaden;Nordsjællands Storkreds;Ø;Thue Lundgaard
Hovedstaden;Nordsjællands Storkreds;Ø;Øjvind Vilsholm
Hovedstaden;Nordsjællands Storkreds;Å;Allon Hein Sørensen
Hovedstaden;Nordsjællands Storkreds;Å;Helene Liliendahl Brydensholt
Hovedstaden;Nordsjællands Storkreds;Å;Mariane Lunden
Hovedstaden;Nordsjællands Storkreds;Å;Maud Margrethe Pedersen
Hovedstaden;Nordsjællands Storkreds;Å;Mette Jeppesen
Hovedstaden;Nordsjællands Storkreds;Å;Mette Skamris
Hovedstaden;Nordsjællands Storkreds;Å;Morten Hvidberg Greve
Hovedstaden;Nordsjællands Storkreds;Å;Nanna Høyrup
Hovedstaden;Nordsjællands Storkreds;Å;Nicklas Hakmann
Hovedstaden;Nordsjællands Storkreds;Å;Sidsel Dyekjær
Hovedstaden;Bornholms Storkreds;A;Lars Goldschmidt
Hovedstaden;Bornholms Storkreds;A;Lea Wermelin
Hovedstaden;Bornholms Storkreds;A;Steen Frandsen
Hovedstaden;Bornholms Storkreds;B;Birger Nissen
Hovedstaden;Bornholms Storkreds;B;David Christensen
Hovedstaden;Bornholms Storkreds;B;Gerd Lyng
Hovedstaden;Bornholms Storkreds;B;Niels Ebbesen
Hovedstaden;Bornholms Storkreds;C;Diana-Ester B. Eriksen
Hovedstaden;Bornholms Storkreds;C;Henriette Søvind
Hovedstaden;Bornholms Storkreds;C;Sebastian Larvad
Hovedstaden;Bornholms Storkreds;D;Jakob Buchwald Busk
Hovedstaden;Bornholms Storkreds;F;Andreas Grosbøll
Hovedstaden;Bornholms Storkreds;F;Thomas Garfort
Hovedstaden;Bornholms Storkreds;I;Clara Malmqvist
Hovedstaden;Bornholms Storkreds;I;Mette Vinqvist
Hovedstaden;Bornholms Storkreds;K;Bjarne Hartung Kirkegaard
Hovedstaden;Bornholms Storkreds;M;Lars Christian Funk
Hovedstaden;Bornholms Storkreds;M;Stine Rosenquist
Hovedstaden;Bornholms Storkreds;O;Mette Sode Hansen
Hovedstaden;Bornholms Storkreds;O;Rene Danielsson
Hovedstaden;Bornholms Storkreds;O;Sabine Nicoline Lyngberg
Hovedstaden;Bornholms Storkreds;Q;Stine Zink Kaasgaard
Hovedstaden;Bornholms Storkreds;Uden for partier;Charlotte Petersen
Hovedstaden;Bornholms Storkreds;V;Birthe Tindbæk Bredo
Hovedstaden;Bornholms Storkreds;V;Julie Pauch Nymark
Hovedstaden;Bornholms Storkreds;V;Peter Juel-Jensen
Hovedstaden;Bornholms Storkreds;Æ;Vibeke Brønnum
Hovedstaden;Bornholms Storkreds;Ø;Laura Kofod
Hovedstaden;Bornholms Storkreds;Ø;Morten Riis
Hovedstaden;Bornholms Storkreds;Å;Caroline Meyer White
Hovedstaden;Bornholms Storkreds;Å;Martin Kelleher-Petersen
Sjælland-Syddanmark;Sjællands Storkreds;A;Astrid Krag
Sjælland-Syddanmark;Sjællands Storkreds;A;Brian Bressendorff
Sjælland-Syddanmark;Sjællands Storkreds;A;Frederik Enevoldsen
Sjælland-Syddanmark;Sjællands Storkreds;A;Frederik Vad
Sjælland-Syddanmark;Sjællands Storkreds;A;Jeppe Kofod
Sjælland-Syddanmark;Sjællands Storkreds;A;Kaare Dybvad Bek
Sjælland-Syddanmark;Sjællands Storkreds;A;Kasper Roug
Sjælland-Syddanmark;Sjællands Storkreds;A;Magnus Heunicke
Sjælland-Syddanmark;Sjællands Storkreds;A;Mette Gjerskov
Sjælland-Syddanmark;Sjællands Storkreds;A;Rasmus Horn Langhoff
Sjælland-Syddanmark;Sjællands Storkreds;A;Tanja Larsson
Sjælland-Syddanmark;Sjællands Storkreds;A;Thorkild Holmboe-Hay
Sjælland-Syddanmark;Sjællands Storkreds;B;Anne Sophie Callesen
Sjælland-Syddanmark;Sjællands Storkreds;B;Edris Qasimi
Sjælland-Syddanmark;Sjællands Storkreds;B;Hikmet Altun
Sjælland-Syddanmark;Sjællands Storkreds;B;Jeppe Trolle
Sjælland-Syddanmark;Sjællands Storkreds;B;Kristian Stokholm
Sjælland-Syddanmark;Sjællands Storkreds;B;Line Krogh Lay
Sjælland-Syddanmark;Sjællands Storkreds;B;Lukas Lunøe
Sjælland-Syddanmark;Sjællands Storkreds;B;Troels Brandt
Sjælland-Syddanmark;Sjællands Storkreds;B;Zenia Stampe
Sjælland-Syddanmark;Sjællands Storkreds;C;Andreas Karlsen
Sjælland-Syddanmark;Sjællands Storkreds;C;Annette Juhler Kjær
Sjælland-Syddanmark;Sjællands Storkreds;C;Brigitte Klintskov Jerkel
Sjælland-Syddanmark;Sjællands Storkreds;C;Camillo Krog
Sjælland-Syddanmark;Sjællands Storkreds;C;Claus Dyremose
Sjælland-Syddanmark;Sjællands Storkreds;C;Helle Laursen Petersen
Sjælland-Syddanmark;Sjællands Storkreds;C;Jacob Stryhn
Sjælland-Syddanmark;Sjællands Storkreds;C;Mads C. Andersen
Sjælland-Syddanmark;Sjællands Storkreds;C;Mads Silberg
Sjælland-Syddanmark;Sjællands Storkreds;C;Regitze Harslund Sancoeur
Sjælland-Syddanmark;Sjællands Storkreds;C;Rune Kristensen
Sjælland-Syddanmark;Sjællands Storkreds;C;Stine Pilt Olsen
Sjælland-Syddanmark;Sjællands Storkreds;D;Claus Bedemann
Sjælland-Syddanmark;Sjællands Storkreds;D;Githa Nelander
Sjælland-Syddanmark;Sjællands Storkreds;D;Henriette Ergemann
Sjælland-Syddanmark;Sjællands Storkreds;D;Jan Bigum Warming
Sjælland-Syddanmark;Sjællands Storkreds;D;Peter Seier Christensen
Sjælland-Syddanmark;Sjællands Storkreds;D;Tonny Voldby Pedersen
Sjælland-Syddanmark;Sjællands Storkreds;D;Ulrik Nick Lassen
Sjælland-Syddanmark;Sjællands Storkreds;F;Anne Valentina Berthelsen
Sjælland-Syddanmark;Sjællands Storkreds;F;Astrid Carøe
Sjælland-Syddanmark;Sjællands Storkreds;F;Claus Jørgensen
Sjælland-Syddanmark;Sjællands Storkreds;F;Gitte Henriksen
Sjælland-Syddanmark;Sjællands Storkreds;F;Jacob Mark
Sjælland-Syddanmark;Sjællands Storkreds;F;Jeanne Rygas Bergmansen
Sjælland-Syddanmark;Sjællands Storkreds;F;Kenneth Werby
Sjælland-Syddanmark;Sjællands Storkreds;F;Mads Olsen
Sjælland-Syddanmark;Sjællands Storkreds;F;Michael Graakjær
Sjælland-Syddanmark;Sjællands Storkreds;I;Flemming Sørensen
Sjælland-Syddanmark;Sjællands Storkreds;I;Frederik Grünfeld
Sjælland-Syddanmark;Sjællands Storkreds;I;Henrik Thomsen
Sjælland-Syddanmark;Sjællands Storkreds;I;Joachim Riis-Bernickow
Sjælland-Syddanmark;Sjællands Storkreds;I;Lars-Christian Brask
Sjælland-Syddanmark;Sjællands Storkreds;I;Louie Andersen
Sjælland-Syddanmark;Sjællands Storkreds;I;Nicolai Sandager
Sjælland-Syddanmark;Sjællands Storkreds;I;Nikolaj Vester
Sjælland-Syddanmark;Sjællands Storkreds;I;Sander P. Larsen
Sjælland-Syddanmark;Sjællands Storkreds;I;Sandra Elisabeth Skalvig
Sjælland-Syddanmark;Sjællands Storkreds;I;Thomas Vesth
Sjælland-Syddanmark;Sjællands Storkreds;K;Eva Guldfred
Sjælland-Syddanmark;Sjællands Storkreds;K;Finn Andersen
Sjælland-Syddanmark;Sjællands Storkreds;K;John Haugegaard
Sjælland-Syddanmark;Sjællands Storkreds;K;Per Kristensen
Sjælland-Syddanmark;Sjællands Storkreds;K;Tage Sørensen
Sjælland-Syddanmark;Sjællands Storkreds;M;Benjamin Lindberg
Sjælland-Syddanmark;Sjællands Storkreds;M;Charlotte Bagge Hansen
Sjælland-Syddanmark;Sjællands Storkreds;M;Ewan O'Nell
Sjælland-Syddanmark;Sjællands Storkreds;M;Jan Carlsen
Sjælland-Syddanmark;Sjællands Storkreds;M;Lars Løkke Rasmussen
Sjælland-Syddanmark;Sjællands Storkreds;M;Lucas Olsgaard
Sjælland-Syddanmark;Sjællands Storkreds;M;Mads Lund Beier
Sjælland-Syddanmark;Sjællands Storkreds;M;Michael Hertz
Sjælland-Syddanmark;Sjællands Storkreds;M;Mike Villa Fonseca
Sjælland-Syddanmark;Sjællands Storkreds;O;Anders Ladegaard Bork
